Date,BRI_Value,VIX_Value,BRI_Signal,VIX_Spike,Strategy_Return,Benchmark_Return,Cumulative_Return,Cumulative_Benchmark,Drawdown,Sharpe_Ratio
2023-07-01,42.3,18.7,0,0,0.000,0.000,1.000,1.000,0.000,0.000
2023-07-02,43.1,19.2,0,0,0.000,0.000,1.000,1.000,0.000,0.000
2023-07-03,44.2,20.1,0,0,0.000,0.000,1.000,1.000,0.000,0.000
2023-07-04,45.7,21.3,0,0,0.000,0.000,1.000,1.000,0.000,0.000
2023-07-05,47.2,22.8,1,1,0.023,0.012,1.023,1.012,0.000,0.000
2023-07-06,48.9,24.1,1,1,0.019,0.015,1.042,1.027,0.000,0.000
2023-07-07,50.3,25.7,1,1,0.021,0.017,1.064,1.044,0.000,0.000
2023-07-08,49.8,24.9,1,0,0.000,0.000,1.064,1.044,0.000,0.000
2023-07-09,48.2,23.4,1,0,0.000,0.000,1.064,1.044,0.000,0.000
2023-07-10,46.7,22.1,1,0,0.000,0.000,1.064,1.044,0.000,0.000
2023-07-11,45.1,20.8,0,0,0.000,0.000,1.064,1.044,0.000,0.000
2023-07-12,43.8,19.5,0,0,0.000,0.000,1.064,1.044,0.000,0.000
2023-07-13,42.9,18.9,0,0,0.000,0.000,1.064,1.044,0.000,0.000
2023-07-14,44.2,20.3,0,1,0.000,0.015,1.064,1.059,0.000,0.000
2023-07-15,46.1,22.7,1,1,0.018,0.020,1.083,1.080,0.000,0.000
2023-07-16,48.3,24.9,1,1,0.019,0.021,1.103,1.102,0.000,0.000
2023-07-17,50.7,27.1,1,1,0.020,0.022,1.125,1.126,0.000,0.000
2023-07-18,52.1,28.4,1,1,0.012,0.012,1.139,1.140,0.000,0.000
2023-07-19,51.8,27.9,1,0,0.000,0.000,1.139,1.140,0.000,0.000
2023-07-20,50.2,26.3,1,0,0.000,0.000,1.139,1.140,0.000,0.000
2023-07-21,48.7,24.8,1,0,0.000,0.000,1.139,1.140,0.000,0.000
2023-07-22,47.1,23.2,0,0,0.000,0.000,1.139,1.140,0.000,0.000
2023-07-23,45.6,21.9,0,0,0.000,0.000,1.139,1.140,0.000,0.000
2023-07-24,44.3,20.7,0,0,0.000,0.000,1.139,1.140,0.000,0.000
2023-07-25,43.8,19.8,0,0,0.000,0.000,1.139,1.140,0.000,0.000
2023-07-26,44.9,21.1,0,1,0.000,0.015,1.139,1.157,0.000,0.000
2023-07-27,46.7,23.4,1,1,0.016,0.021,1.157,1.181,0.000,0.000
2023-07-28,48.9,25.8,1,1,0.019,0.020,1.179,1.205,0.000,0.000
2023-07-29,51.2,28.1,1,1,0.020,0.018,1.203,1.227,0.000,0.000
2023-07-30,53.6,30.4,1,1,0.020,0.020,1.227,1.252,0.000,0.000
2023-07-31,55.1,32.7,1,1,0.015,0.015,1.246,1.271,0.000,0.000
2023-08-01,54.8,31.9,1,0,0.000,0.000,1.246,1.271,0.000,0.000
2023-08-02,53.2,29.8,1,0,0.000,0.000,1.246,1.271,0.000,0.000
2023-08-03,51.7,27.6,1,0,0.000,0.000,1.246,1.271,0.000,0.000
2023-08-04,50.1,25.4,1,0,0.000,0.000,1.246,1.271,0.000,0.000
2023-08-05,48.6,23.7,0,0,0.000,0.000,1.246,1.271,0.000,0.000
2023-08-06,47.2,22.1,0,0,0.000,0.000,1.246,1.271,0.000,0.000
2023-08-07,46.1,20.9,0,0,0.000,0.000,1.246,1.271,0.000,0.000
2023-08-08,45.8,19.8,0,0,0.000,0.000,1.246,1.271,0.000,0.000
2023-08-09,47.3,21.4,0,1,0.000,0.015,1.246,1.290,0.000,0.000
2023-08-10,49.1,23.7,1,1,0.014,0.021,1.263,1.317,0.000,0.000
2023-08-11,51.4,26.2,1,1,0.018,0.020,1.286,1.343,0.000,0.000
2023-08-12,53.7,28.9,1,1,0.018,0.020,1.309,1.370,0.000,0.000
2023-08-13,55.9,31.4,1,1,0.016,0.017,1.330,1.393,0.000,0.000
2023-08-14,57.2,33.8,1,1,0.014,0.015,1.349,1.414,0.000,0.000
2023-08-15,56.8,32.9,1,0,0.000,0.000,1.349,1.414,0.000,0.000
2023-08-16,55.1,30.7,1,0,0.000,0.000,1.349,1.414,0.000,0.000
2023-08-17,53.4,28.5,1,0,0.000,0.000,1.349,1.414,0.000,0.000
2023-08-18,51.7,26.3,1,0,0.000,0.000,1.349,1.414,0.000,0.000
2023-08-19,50.1,24.1,0,0,0.000,0.000,1.349,1.414,0.000,0.000
2023-08-20,48.6,22.4,0,0,0.000,0.000,1.349,1.414,0.000,0.000
2023-08-21,47.9,21.2,0,0,0.000,0.000,1.349,1.414,0.000,0.000
2023-08-22,48.7,22.8,0,1,0.000,0.015,1.349,1.435,0.000,0.000
2023-08-23,50.9,25.1,1,1,0.014,0.020,1.368,1.464,0.000,0.000
2023-08-24,53.2,27.6,1,1,0.018,0.020,1.393,1.493,0.000,0.000
2023-08-25,55.6,30.2,1,1,0.017,0.018,1.417,1.520,0.000,0.000
2023-08-26,57.9,32.8,1,1,0.017,0.017,1.441,1.546,0.000,0.000
2023-08-27,59.3,35.1,1,1,0.013,0.014,1.460,1.568,0.000,0.000
2023-08-28,60.7,37.4,1,1,0.013,0.013,1.479,1.588,0.000,0.000
2023-08-29,61.2,38.9,1,1,0.008,0.008,1.491,1.601,0.000,0.000
2023-08-30,60.8,37.6,1,0,0.000,0.000,1.491,1.601,0.000,0.000
2023-08-31,59.1,35.2,1,0,0.000,0.000,1.491,1.601,0.000,0.000
